ID,predicted_label,correct_prediction,epistemic_uncertainty,aleatoric_uncertainty,total_uncertainty
1,4,True,7.797681e-05,0.15205596,0.15213394
2,4,False,6.720409e-05,0.15274385,0.15281105
3,4,False,4.5761433e-05,0.15444098,0.15448675
4,4,False,8.8190136e-05,0.15225774,0.15234593
5,4,False,4.1676536e-05,0.15317386,0.15321554
6,4,True,6.935179e-05,0.15399666,0.15406601
7,4,False,4.9544233e-05,0.15234149,0.15239103
8,4,False,4.749681e-05,0.1509469,0.15099439
9,4,False,7.40926e-05,0.15209864,0.15217273
10,4,True,5.0873437e-05,0.15179715,0.15184802
11,4,False,6.226684e-05,0.1529952,0.15305747
12,4,False,7.250332e-05,0.15314925,0.15322176
13,4,False,5.686814e-05,0.15405115,0.15410802
14,4,False,3.7299236e-05,0.15279108,0.15282838
15,4,True,4.004549e-05,0.15422903,0.15426907
16,4,False,7.8942736e-05,0.15210687,0.15218581
17,4,False,5.6003817e-05,0.1544152,0.1544712
18,4,False,8.3800136e-05,0.15300213,0.15308593
19,4,False,7.720965e-05,0.15147835,0.15155555
20,4,False,7.373195e-05,0.1529637,0.15303743
21,4,False,8.352067e-05,0.15318045,0.15326397
22,4,True,5.228883e-05,0.15386978,0.15392207
23,4,False,6.0180362e-05,0.15412833,0.15418851
24,4,False,2.4702005e-05,0.15290087,0.15292558
25,4,False,8.4726424e-05,0.15334001,0.15342474
26,4,False,5.3819855e-05,0.1535553,0.15360913
27,4,True,9.20705e-05,0.15395293,0.154045
28,4,True,8.8633344e-05,0.152064,0.15215263
29,4,False,5.7154368e-05,0.15250313,0.1525603
30,4,False,7.6052405e-05,0.15276198,0.15283804
31,4,False,6.726925e-05,0.1513877,0.15145497
32,4,False,4.5603323e-05,0.15244003,0.15248562
33,4,False,5.6066976e-05,0.15378058,0.15383665
34,4,False,5.043033e-05,0.15136111,0.15141153
35,4,True,6.1297535e-05,0.1530883,0.1531496
36,4,False,4.3825836e-05,0.15255453,0.15259835
37,4,False,5.8561563e-05,0.15182017,0.15187873
38,4,False,9.8821336e-05,0.15252636,0.15262519
39,4,False,3.827238e-05,0.15271859,0.15275685
40,4,False,7.9313344e-05,0.15341458,0.1534939
41,4,False,4.5801848e-05,0.15245992,0.15250573
42,4,False,7.66645e-05,0.15218079,0.15225746
43,4,True,5.6153942e-05,0.15171023,0.15176637
44,4,False,6.606949e-05,0.15277795,0.15284403
45,4,False,7.07146e-05,0.15258595,0.15265667
46,4,False,3.4583296e-05,0.15217657,0.15221116
47,4,False,6.1123144e-05,0.15220556,0.15226668
48,4,False,7.859217e-05,0.15086134,0.15093993
49,4,False,6.077257e-05,0.15203938,0.15210015
50,4,False,6.105987e-05,0.15297937,0.15304044
51,4,True,5.7731228e-05,0.15300906,0.15306678
52,4,False,9.460183e-05,0.15218163,0.15227623
53,4,True,5.5665096e-05,0.1523481,0.15240377
54,4,False,6.1613355e-05,0.15271592,0.15277754
55,4,False,6.0655566e-05,0.15248567,0.15254633
56,4,False,4.93332e-05,0.15289897,0.1529483
57,4,False,4.967567e-05,0.1535393,0.15358898
58,4,False,5.3198655e-05,0.1529075,0.1529607
59,4,False,3.198341e-05,0.15325798,0.15328996
60,4,False,5.6326953e-05,0.15296945,0.15302578
61,4,False,5.6854853e-05,0.1518927,0.15194955
62,4,False,4.4504646e-05,0.150563,0.15060751
63,4,False,3.899004e-05,0.15115412,0.15119311
64,4,False,6.2983185e-05,0.15146653,0.15152952
65,4,False,5.0486393e-05,0.15240668,0.15245716
66,4,True,6.9715556e-05,0.15150516,0.15157488
67,4,False,5.1569405e-05,0.1523385,0.15239008
68,4,True,6.325912e-05,0.15183201,0.15189527
69,4,True,7.192408e-05,0.15287814,0.15295006
70,4,False,7.829873e-05,0.15027875,0.15035705
71,4,False,6.8523244e-05,0.15235789,0.15242642
72,4,False,7.255528e-05,0.15188245,0.15195501
73,4,False,4.670431e-05,0.15320879,0.15325549
74,4,False,7.672051e-05,0.15318961,0.15326634
75,4,False,5.9305756e-05,0.15226614,0.15232545
76,4,False,5.0994284e-05,0.15362062,0.1536716
77,4,False,4.455295e-05,0.15176322,0.15180777
78,4,True,5.67692e-05,0.15093622,0.15099299
79,4,True,4.608108e-05,0.15254039,0.15258646
80,4,False,7.1040806e-05,0.15310545,0.15317649
81,4,False,7.860462e-05,0.15350515,0.15358375
82,4,False,6.880237e-05,0.1518788,0.1519476
83,4,True,6.5989596e-05,0.1535911,0.15365708
84,4,False,4.466049e-05,0.15020047,0.15024513
85,4,True,6.803194e-05,0.15050296,0.150571
86,4,False,7.244324e-05,0.1527035,0.15277594
87,4,True,4.8802263e-05,0.15183559,0.15188439
88,4,False,4.1139414e-05,0.1552103,0.15525144
89,4,False,3.498444e-05,0.1538163,0.15385129
90,4,False,6.1561936e-05,0.1529093,0.15297085
91,4,False,4.5419078e-05,0.1524607,0.15250611
92,4,False,6.269791e-05,0.15304357,0.15310627
93,4,False,3.330664e-05,0.15250571,0.15253901
94,4,False,6.02077e-05,0.15159681,0.15165702
95,4,True,3.4112825e-05,0.15286392,0.15289803
96,4,True,6.5725755e-05,0.1520732,0.15213893
97,4,False,6.632993e-05,0.15394305,0.15400937
98,4,True,3.738284e-05,0.15290186,0.15293925
99,4,False,4.979753e-05,0.15288413,0.15293393
100,4,False,4.767946e-05,0.15247625,0.15252393
101,4,False,4.7982296e-05,0.15057594,0.15062392
102,4,False,6.6973225e-05,0.15356295,0.15362991
103,4,False,6.5930486e-05,0.15332048,0.15338641
104,4,False,7.7735334e-05,0.15217327,0.152251
105,4,False,5.073717e-05,0.15317774,0.15322848
106,4,False,3.9302056e-05,0.15305455,0.15309386
107,4,False,5.0460512e-05,0.15255252,0.15260297
