ID,predicted_label,correct_prediction,epistemic_uncertainty
1,4,True,0.00051889475
2,4,False,0.0006516717
3,0,False,0.0005963324
4,0,False,0.0005034984
5,0,False,0.00046042044
6,0,False,0.00067498017
7,0,False,0.00034447806
8,0,False,0.0007190216
9,0,False,0.00037503778
10,4,True,0.0006012203
11,0,False,0.00036399427
12,4,False,0.00028741575
13,0,False,0.0007485934
14,0,False,0.00067538
15,4,True,0.00084033835
16,0,True,0.00036400973
17,0,False,0.00029298663
18,0,False,0.00042200508
19,0,False,0.00073773443
20,4,False,0.00037049304
21,4,False,0.0005503409
22,0,False,0.0009729406
23,4,False,0.00046962049
24,0,False,0.00048018215
25,4,False,0.0010274256
26,0,False,0.0005129059
27,4,True,0.00061895925
28,0,False,0.0008816334
29,0,True,0.00045434592
30,0,True,0.00037652932
31,0,False,0.0005668481
32,4,False,0.0004236598
33,0,False,0.00063925947
34,4,False,0.00047149972
35,4,True,0.00023271973
36,4,False,0.00034433923
37,4,False,0.00047235578
38,4,False,0.001140035
39,0,False,0.0006092401
40,0,False,0.00050713326
41,0,True,0.0004917785
42,4,False,0.00086331915
43,4,True,0.00039329845
44,0,False,0.00029890973
45,4,False,0.0005488824
46,4,False,0.0005241851
47,4,False,0.00073910534
48,0,False,0.00036724677
49,4,False,0.0005111494
50,0,False,0.0003194737
51,4,True,0.0004492583
52,0,False,0.0003933203
53,0,False,0.0004534859
54,0,False,0.00047661198
55,4,False,0.00030973906
56,4,False,0.0006087006
57,0,False,0.0002507916
58,4,False,0.00060727046
59,4,False,0.0007942639
60,0,False,0.0004344154
61,0,False,0.00022823892
62,0,False,0.00061846146
63,4,False,0.00054037874
64,4,False,0.0004884175
65,4,False,0.0003760808
66,4,True,0.00042095032
67,4,False,0.00029522847
68,4,True,0.0007556906
69,4,True,0.00043484324
70,4,False,0.0006110378
71,4,False,0.0005189444
72,0,False,0.0004429989
73,0,True,0.0005898822
74,4,False,0.0006143161
75,0,True,0.00042415905
76,4,False,0.0004579461
77,4,False,0.00056213787
78,4,True,0.00045772744
79,4,True,0.0005548587
80,4,False,0.0009149865
81,4,False,0.00095379754
82,4,False,0.0004451064
83,4,True,0.00038051422
84,4,False,0.0005224353
85,4,True,0.00048960134
86,4,False,0.0008140785
87,4,True,0.00054308225
88,4,False,0.00069111196
89,4,False,0.0003910286
90,0,True,0.00064219255
91,0,False,0.00048868783
92,0,False,0.00037871313
93,4,False,0.0005377972
94,0,True,0.0009250935
95,0,False,0.00036897682
96,0,False,0.0005694366
97,0,False,0.0007703413
98,0,False,0.0004561764
99,0,False,0.0007252773
100,4,False,0.00066821807
101,4,False,0.0010101474
102,0,False,0.0007901275
103,4,False,0.000414534
104,4,False,0.00064743025
105,4,False,0.00047621274
106,4,False,0.00038750606
107,0,True,0.0004980888
108,0,False,0.00083201204
109,0,False,0.0005623054
110,4,False,0.0005499299
111,0,False,0.0007120847
112,4,True,0.0005738215
113,4,False,0.0009499354
114,0,False,0.0006140499
115,0,False,0.0005142228
116,4,True,0.0007586963
117,4,False,0.0007103733
118,0,False,0.000490118
119,4,True,0.00064742204
120,4,False,0.00030931478
121,4,False,0.00047248908
122,0,False,0.00042995083
123,4,False,0.00062143366
124,0,False,0.0008175112
125,4,False,0.00041032987
126,0,False,0.0010179926
127,0,False,0.00039943884
128,4,False,0.000356671
129,4,False,0.000335326
130,4,False,0.00057341025
131,0,False,0.0003644768
132,4,False,0.00047153
133,4,False,0.0005502107
134,4,True,0.00037999658
135,4,True,0.00035507188
136,4,False,0.0007635585
137,4,False,0.0005512222
138,0,False,0.0009859885
139,4,False,0.0003778344
140,4,False,0.00082608825
141,4,False,0.0004355039
142,4,True,0.00053163833
143,0,True,0.00039324613
144,4,False,0.00078295346
145,4,False,0.00072899734
146,0,False,0.00024944215
147,4,False,0.00061514205
148,4,False,0.0004979616
